iter	Passed	Remaining
944	1456	84
945	1457	83
946	1458	81
947	1459	80
948	1460	78
949	1461	76
950	1462	75
951	1462	73
952	1463	72
953	1464	70
954	1465	69
955	1466	67
956	1467	65
957	1468	64
958	1469	62
959	1470	61
960	1471	59
961	1472	58
962	1473	56
963	1474	55
964	1475	53
965	1476	51
966	1477	50
967	1481	48
968	1482	47
969	1483	45
970	1484	44
971	1486	42
972	1487	41
973	1489	39
974	1492	38
975	1493	36
976	1494	35
977	1495	33
978	1496	32
979	1497	30
980	1499	29
981	1500	27
982	1501	25
983	1503	24
984	1504	22
985	1505	21
986	1506	19
987	1508	18
988	1509	16
989	1510	15
990	1512	13
991	1514	12
992	1515	10
993	1517	9
994	1519	7
995	1520	6
996	1521	4
997	1523	3
998	1527	1
999	1528	0
	0
	5
997	1714	3
998	1715	1
999	1716	0
780	118
959	2781	115
960	2781	112
961	2782	109
962	2783	106
963	2784	103
964	2785	101
965	2786	98
966	2787	95
967	2789	92
968	2790	89
969	2791	86
970	2792	83
971	2793	80
972	2794	77
973	2795	74
974	2795	71
975	2796	68
976	2797	65
977	2798	62
978	2799	60
979	2802	57
980	2805	54
981	2806	51
982	2807	48
983	2817	45
984	2818	42
985	2819	40
986	2821	37
987	2822	34
988	2825	31
989	2826	28
990	2829	25
991	2832	22
992	2833	19
993	2835	17
994	2836	14
995	2845	11
996	2869	8
997	2869	5
998	2876	2
999	2879	0
